time,realization,experimentVersionNumber,lat,lon,t2m
1988-06-02,0,0001,50.74,15.74,285.51367
1988-07-02,0,0001,50.74,15.74,288.02563
1988-08-02,0,0001,50.74,15.74,287.47314
1988-09-02,0,0001,50.74,15.74,283.62622
1988-10-02,0,0001,50.74,15.74,279.92285
1988-11-02,0,0001,50.74,15.74,270.38818
1988-12-02,0,0001,50.74,15.74,271.1433
1989-01-02,0,0001,50.74,15.74,271.3379
1989-02-02,0,0001,50.74,15.74,273.08252
1989-03-02,0,0001,50.74,15.74,276.06006
1989-04-02,0,0001,50.74,15.74,278.63354
1989-05-02,0,0001,50.74,15.74,283.31128
1989-06-02,0,0001,50.74,15.74,285.02612
1989-07-02,0,0001,50.74,15.74,287.51562
1989-08-02,0,0001,50.74,15.74,287.2898
1989-09-02,0,0001,50.74,15.74,284.88623
1989-10-02,0,0001,50.74,15.74,280.3037
1989-11-02,0,0001,50.74,15.74,272.31067
1989-12-02,0,0001,50.74,15.74,271.56055
1990-01-02,0,0001,50.74,15.74,271.5619
1990-02-02,0,0001,50.74,15.74,274.0979
1990-03-02,0,0001,50.74,15.74,276.3252
1990-04-02,0,0001,50.74,15.74,277.27588
1990-05-02,0,0001,50.74,15.74,283.80396
1990-06-02,0,0001,50.74,15.74,285.62695
1990-07-02,0,0001,50.74,15.74,286.64917
1990-08-02,0,0001,50.74,15.74,288.30176
1990-09-02,0,0001,50.74,15.74,281.49902
1990-10-02,0,0001,50.74,15.74,280.01245
1990-11-02,0,0001,50.74,15.74,274.30518
1990-12-02,0,0001,50.74,15.74,269.40552
1991-01-02,0,0001,50.74,15.74,270.94702
1991-02-02,0,0001,50.74,15.74,265.85535
1991-03-02,0,0001,50.74,15.74,275.89087
1991-04-02,0,0001,50.74,15.74,276.55444
1991-05-02,0,0001,50.74,15.74,279.0586
1991-06-02,0,0001,50.74,15.74,284.26123
1991-07-02,0,0001,50.74,15.74,288.97314
1991-08-02,0,0001,50.74,15.74,287.61035
1991-09-02,0,0001,50.74,15.74,284.86182
1991-10-02,0,0001,50.74,15.74,278.1931
1991-11-02,0,0001,50.74,15.74,273.24377
1991-12-02,0,0001,50.74,15.74,268.69214
1992-01-02,0,0001,50.74,15.74,270.19104
1992-02-02,0,0001,50.74,15.74,271.7561
1992-03-02,0,0001,50.74,15.74,273.1682
1992-04-02,0,0001,50.74,15.74,276.98877
1992-05-02,0,0001,50.74,15.74,283.3208
1992-06-02,0,0001,50.74,15.74,287.53027
1992-07-02,0,0001,50.74,15.74,288.98315
1992-08-02,0,0001,50.74,15.74,290.81885
1992-09-02,0,0001,50.74,15.74,283.85767
1992-10-02,0,0001,50.74,15.74,276.69116
1992-11-02,0,0001,50.74,15.74,273.45142
1992-12-02,0,0001,50.74,15.74,269.37085
1993-01-02,0,0001,50.74,15.74,269.99414
1993-02-02,0,0001,50.74,15.74,268.641
1993-03-02,0,0001,50.74,15.74,271.22974
1993-04-02,0,0001,50.74,15.74,278.73828
1993-05-02,0,0001,50.74,15.74,285.5559
