time,realization,experimentVersionNumber,lat,lon,sd
1978-08-01,0,0001,50.1,12.34,-7.345365e-25
1978-09-01,0,0001,50.1,12.34,-7.345365e-25
1978-10-01,0,0001,50.1,12.34,-7.345365e-25
1978-11-01,0,0001,50.1,12.34,0.00069999695
1978-12-01,0,0001,50.1,12.34,0.004199028
1979-01-01,0,0001,50.1,12.34,0.02734375
1979-02-01,0,0001,50.1,12.34,0.0544672
1979-03-01,0,0001,50.1,12.34,0.015079498
1979-04-01,0,0001,50.1,12.34,0.002875328
1979-05-01,0,0001,50.1,12.34,6.198883e-05
1979-06-01,0,0001,50.1,12.34,-7.345365e-25
1979-07-01,0,0001,50.1,12.34,-7.345365e-25
1979-08-01,0,0001,50.1,12.34,-7.345365e-25
1979-09-01,0,0001,50.1,12.34,-7.345365e-25
1979-10-01,0,0001,50.1,12.34,-7.345365e-25
1979-11-01,0,0001,50.1,12.34,0.0065641403
1979-12-01,0,0001,50.1,12.34,0.005173683
1980-01-01,0,0001,50.1,12.34,0.041576385
1980-02-01,0,0001,50.1,12.34,0.011741638
1980-03-01,0,0001,50.1,12.34,0.0032672882
1980-04-01,0,0001,50.1,12.34,0.007176399
1980-05-01,0,0001,50.1,12.34,3.33786e-05
1980-06-01,0,0001,50.1,12.34,-7.345365e-25
1980-07-01,0,0001,50.1,12.34,-7.345365e-25
1980-08-01,0,0001,50.1,12.34,-7.345365e-25
1980-09-01,0,0001,50.1,12.34,-7.345365e-25
1980-10-01,0,0001,50.1,12.34,5.9127808e-05
1980-11-01,0,0001,50.1,12.34,0.0030488968
1980-12-01,0,0001,50.1,12.34,0.0117406845
1981-01-01,0,0001,50.1,12.34,0.047475815
1981-02-01,0,0001,50.1,12.34,0.0690918
1981-03-01,0,0001,50.1,12.34,0.017241478
1981-04-01,0,0001,50.1,12.34,0.0011949539
1981-05-01,0,0001,50.1,12.34,5.531311e-05
1981-06-01,0,0001,50.1,12.34,-7.345365e-25
1981-07-01,0,0001,50.1,12.34,-7.345365e-25
1981-08-01,0,0001,50.1,12.34,-7.345365e-25
1981-09-01,0,0001,50.1,12.34,-7.345365e-25
1981-10-01,0,0001,50.1,12.34,0.000500679
1981-11-01,0,0001,50.1,12.34,0.0053224564
1981-12-01,0,0001,50.1,12.34,0.09774971
1982-01-01,0,0001,50.1,12.34,0.0754652
1982-02-01,0,0001,50.1,12.34,0.047906876
1982-03-01,0,0001,50.1,12.34,0.0037813187
1982-04-01,0,0001,50.1,12.34,0.0013008118
1982-05-01,0,0001,50.1,12.34,0.00012588501
1982-06-01,0,0001,50.1,12.34,-7.345365e-25
1982-07-01,0,0001,50.1,12.34,-7.345365e-25
1982-08-01,0,0001,50.1,12.34,-7.345365e-25
1982-09-01,0,0001,50.1,12.34,-7.345365e-25
